rodada,posicao_ebt,nota,dt_inicio_avaliacao,dt_fim_avaliacao,uf,municipio,cod_ibge,populacao,normativo_lai,dt_normativo_lai,respondeu_pergunta_2,respondeu_pergunta_3,respondeu_pergunta_4,pontos_resposta_perguntas,pontos_transp_passiva,total_pontos,nota_1
1,1,10,29/01/2015,12/03/2015,SC,Apiúna,4201257,10211,2085,22/07/2014,SIM,SIM,SIM,1000,2700,3600,10
1,1,10,01/04/2015,24/04/2015,SP,São Paulo,3550308,11895893,53.623  /  54.779,12/12/2012 / 22/01/2014,SIM,SIM,SIM,1000,2700,3600,10
1,3,9.58,19/01/2015,17/03/2015,PB,Nazarezinho,2510006,7330,34,02/12/2013,SIM,SIM,SIM,1000,2700,3450,9.58
1,4,9.44,05/02/2015,12/03/2015,SC,Correia Pinto,4204558,14063,796,03/12/2013,SIM,SIM,SIM,1000,2500,3400,9.44
1,4,9.44,05/02/2015,12/03/2015,SC,Frei Rogério,4205555,2301,589,20/12/2013,SIM,SIM,SIM,1000,2500,3400,9.44
1,6,9.31,01/04/2015,24/04/2015,PR,Curitiba,4106902,1864416,1135,30/07/2012,SIM,SIM,SIM,1000,2450,3350,9.31
1,7,9.17,06/02/2015,16/03/2015,SC,Imbuia,4207403,5993,1554,04/06/2013,SIM,SIM,SIM,1000,2500,3300,9.17
1,8,8.89,31/03/2015,23/04/2015,DF,Brasília,5300108,2852372,,12/12/2012,SIM,NÃO,SIM,700,2300,3200,8.89
1,9,8.75,01/04/2015,27/04/2015,PE,Recife,2611606,1608488,17866,16/05/2013,NÃO,SIM,SIM,700,2250,3150,8.75
1,10,8.61,31/03/2015,23/04/2015,CE,Fortaleza,2304400,2571896,13.305/2014,25/04/2014,SIM,SIM,SIM,1000,2200,3100,8.61
1,11,8.47,22/01/2015,17/03/2015,PB,São José do Sabugi,2514701,4114,488 / 15,29/12/2014  / 29/12/2015,NÃO,SIM,SIM,700,2150,3050,8.47
1,11,8.47,01/04/2015,24/04/2015,PB,João Pessoa,2507507,780738,12645,25/10/2013,SIM,SIM,SIM,700,2150,3050,8.47
1,11,8.47,01/04/2015,24/04/2015,SC,Florianópolis,4205407,461524,9988,15/05/2012,NÃO,SIM,SIM,700,2400,3050,8.47
1,14,8.33,22/01/2015,17/03/2015,PB,Taperoá,2516508,15284,42,23/12/2013,SIM,SIM,SIM,700,2250,3000,8.33
1,15,8.19,02/02/2015,16/03/2015,SC,Monte Carlo,4211058,9650,16,21/02/2013,NÃO,SIM,SIM,700,2050,2950,8.19
1,15,8.19,29/01/2015,12/03/2015,SC,Bombinhas,4202453,16897,1759,29/05/2013,SIM,SIM,SIM,700,2050,2950,8.19
1,15,8.19,13/01/2015,17/03/2015,RS,São Paulo das Missões,4319307,6385,1409,21/06/2012,SIM,SIM,SIM,1000,2200,2950,8.19
